kode_kec;nama_kec
7317010;Larompong
7317011;Larompong Selatan
7317020;Suli
7317021;Suli Barat
7317030;Belopa
7317031;Kamanre
7317032;Belopa Utara
7317040;Bajo
7317041;Bajo Barat
7317050;Bassesangtempe
7317051;Latimojong
7317052;Bassesangtempe Utara
7317060;Bupon
7317061;Ponrang
7317062;Ponrang Selatan
7317070;Bua
7317080;Walenrang
7317081;Walenrang Timur
7317090;Lamasi
7317091;Walenrang Utara
7317092;Walenrang Barat
7317093;Lamasi Timur
